Positive Comments	Negative Comments
The lesson is informative.	None
Keep it up	There is nothing to improbe, i am satisfied of what the instructor do
explains properly	n/a
Topics were discussed and elaborated.	Lack of reading materials
Ms. Villena is a very approachable instructor because she always answer and help us whenever there is something that we don't know in using autocad app.	None
As much as possible he gives examples and illustrations that will help us understand the lesson and he makes his lectures fun.	None, his way of teaching makes me understand the lessons.
Your f2f and online lecture are always excellent.	Nothing
She is kind and great teacher. Our instructor explains the lessons very well. She is also easy to approach to.	N/A
Our instructor always try to have a smooth flow of class. He doesn't demand too much from us, he gives us time to rest, learn, and understand the lesson well.	Honestly, it is a little hard for me to allot time in watching his YouTube videos because my attention is diverted easily.
Discussing effectively and considerate	none
Sir Garduce is very considerate and always asks for the opinion or suggestion of the whole class with regards to requirements' scheduling. He is also a well-organized professor and returns our graded activities every week.	Although this is not a big problem because he was still able to explain the process well, but it would be nice if he could solve problems step by step through graphical writing like in a jamboard and not just through prepared ppt slides.
She is well-organized.	The laboratory exercises are quite lengthy compared to those in our past courses.
Maam Chua is well-organized, considerate and always asks for the opinion or suggestion of the whole class with regards to requirements' scheduling.	none
He provides necessary learning materials.	N/A
She is very energetic and lets her students engage in the discussion.	none
She is a good teacher.	None.
Ang bait po ng teacher namin saka maunawain po kaya lang po dapat always po syang nakasmile and dipo snobber.	sana po ay bagalan po mag explain.
When students don't understand something in the instructions, our instructor is approachable and open to questions. She briefly explains the topic or discussion and assures that the time allotted for the plates is adequate.	None
Our instructor is determined to teach the class to the best of her ability, ensuring that the students learned something from the lesson. She discovered that having a group activity during face-to-face classes makes the class more interactive. She is open to student suggestions and questions.	None
He is very knowledgeable with the subject he teaches. Along with this he is also very passionate at teaching and is considerate to his students.	None
Always on time. Speaks clear and every discussion and explanation of plates are detailed.	None
Ms. Mariano is a good instructor, she tries to help us understanding her course given that learning during these times is a little tough.	None.
Understanding	None
Ma'am Marieshanne teaches us well; she keeps our discussions enjoyable and accepts our answers, right or wrong, before correcting us.	None
She's socializing with us even though our class is online.	.
She is good at explaining the topic. She discussed some topics clearly.	Need more explanation, but sometimes the problems is on us.
Fast-paced learning	None
She always give as example and explained the topic as much as possible. She always meet us .	Need more explanation but sometimes the is on us.
He's socializing with us even though our class is online.	.
Probably, what's best about Prof. Mariano's teaching technique is that she let's anyone speak out their thoughts about the topics we tackle, and that she's open for corrections and improvements that our class points.	So far, there would be times that her presentations would have typos or she sometimes gets confused with the lecture she shares with our class, but again, it is not totally negative since she's always open for corrections and feedback from the class.
She is not so strict in teaching and sometimes tells a joke that lightens up the mood of the class. She explains every lesson with clarity. Personally, I am not really good at math but Ms. Mariano seems to make it easier for me.	Sometimes, I am having an information overload because of learning several lessons at a time. Though it was expected for only a review since we already studied it in SHS, it is still hard for me to comprehend it all at once. It's really not a negative comment po.
She teaches really well and always provides us examples for us to understand her lessons properly.	None so far.
good in teaching techniques	ummm. do more productive activities
I can really see his passion at teaching and he really tries to elaborate the topic and give concrete examples in order for his student to understand the topic.	The video lectures are too long which leads the students to lose interest midway of the lecture. I think video lectures should be shortened as much as possible in order for the students to digest all the topics being discussed.
Detailed	None
She is good at teaching and she elaborates well the topic and gives many examples to understand further the topic being discussed.	As of now, I cannot think of any negative comments to give because she is good at teaching and a kind of instructor who is approachable.
