Positive Comments	Negative Comments
He is obviously expert in his course he is instructing us since we truly learned so much from him as he clearly gives his instructions.	None
He's good in teaching	None
My positive comments about my professor in this course is he is always on time and supper energetic	so far I don't have negative comments
Our class is enjoying and we are having fun to the activities. Also Sir Joey is friendly and approachable. He want his class to be our relaxation hour so we can recharge our mind.	Personally, I don't have negative comments because I really enjoyed our PE class.
He is joyful	None
He is very active in teaching	I don't notice some negative about her teaching
Responsive	None
Sir Joey is very approachable and kind, gives consideration and makes sure that all of us can pass our activities and videos on time	none
Our instructor is so lively when it comes to teaching and he is hands-on teacher for every student especially in face to face class	I think our instructor needs to improve is that he needs to consider other physical capabilities when it comes in performing physical activities
Energetic, his lessons are informative, and he definitely pushes his students to surpass the limits, for unexpected presentations improved my ability to speak freely and naturally within the discussion that enabled me to carry the "Bring It On!" attitude anytime, anywhere.	I have nothing to say about this, for I am more than satisfied with his abilities to connect with all his students
Mr. Joey keeps our class lively and fun.	Doing late announcements sometimes.
Hes good at teaching also very friendly (wag sana matulad kay RPH)	No negative comments
Always giving light discussion.	None
Sir Joey is very fun. We students can sense his passion for the subject and emphasis on the importance of health and fitness. He also does some things to conclude the class in a fun manner while bringing the class together specially with the wacky groufie photos. Sir is very friendly to interact with even if we are not in class.	I don't have any negative comments or suggestions for improvement for our instructor.
He always make our class fun and fruitful.	none
Miss mitch i am very Happy that you became our prof... I hope that you will continue your great style of Teaching	N/A
The instructor is fun and lively. He is good in explaining terms in a easy way. He is also considerate and understanding.	Sometimes his given instructions and directions is hard or confusing to follow.
very considerate	none
Don't base on technicalities of grading on papers.	Minimal but lack of student engagement maybe
The instructor is very considerate of having face-to-face or online classes. But there was one incident wherein he announced the having of face-to-face classes at 5am, and our class was 10am so I find it hard for those who lives outside Batangas city.	no negative comments
masayahin si sir	waley
He is very open to his students and gives compliments when the class achieves something.	His instructions can be vague making us puzzled on what to do.
Sir Joey is one of our humorous instructor that makes us laugh and make the subject very interesting. Even in the presence of happiness he conduct his lecture very smoothly. And for us as a student we are very into his type of lecturing. And i am amazed on how he can teach and also entertain us. Sir Joey is like a teacher/friend to us	Actually None
Approachable and always willing to guide students most specially before the seminars	
n/a	
She always makes it easier for us to grasp every single topic that we need to learn and understand.	None
kind and specific in teaching	n/a
Kind, considerate, and detailed magturo	None
Approachable and does not cover the whole 3-hr period of class	
kind and good at teaching	none
Considerate.	Nothing in particular
She is an engaging instructor who is very approachable. She makes each class enjoyable and simple for us.	None at this time.
He is a comfortable instructor to be with and we are not getting vored in his class	None
Since our class is at 7 am, he gives us an ample amount of time to wake up our system to be ready for his class	No negative comment.
Hes Funny and entertaining while discussing	More ppts
The instructor is knowledgeable about the course topics and is able to add additional information to make the lessons more interesting to learn.	The instructor can make his voice more audible.
.	.
â€¢ Designates a specific time if ever the class starts on a later time. â€¢ Thorough explanations. â€¢ Good heads-up on what readings are expected to be tackled in the current/next session. â€¢ Good time allotment to encourage fruitful discussions among the given activities.	â€¢ Sometimes the voice is too soft that the background noise tends to overcome the microphone instead of the instructor's voice.
He discusses well	But not all topics, there are some examples that was not discussed thatâ€™s why we donâ€™t know if we did it right.
She discusses well	But it is sometimes fast and there are parts in long quiz that she doesnâ€™t discussed such as graphing of functions given that it might be discussed to us in the past but still discussing it to refresh the topic is a must.
She ensures that we are learning, and she also gives us exercises to practice solving and helps us enhance our knowledgeÂ in her subject.	I have no complaints, but I believe that in this subject, more face-to-face classes would be preferable because the topics are not easy to learn, and I am also a slow learner who requires actual expertise, which can only be obtained through face-to-face classes.
Good instructor	None
Good teacher	Fast in teaching lessons.
He conducts classes everyday and makes sure that we could learn something from him.	I think the instructor should improve the sound of his mic during his discussions because we can't hear it clearly.
Engr./ Ma'am is a great instructor. She ask if we understand the lesson. She makes the discussion lively and fun. Her presentation is so informative and detailed which help us to understand the topic easily.	none
He is good at teaching	Audio when teaching since we sometimes hear teachers in the background teaching
Keep up the good work po maâ€™am.fighting!	N/a
He always make sure to cite examples and elaborate more the topic.	Since we're in online class, the environmental noises are really distracting and we cannot hear our instructor that well. And it would be really nice if there's illustrations and presentation for visual learning.
All the lessons are very well-discussed, she's explaining it the way we can absorb the lessons easily.	Sometimes her voice is not loud during discussion but its okay not all people can increase the loudness of their voice.
She makes sure to cite examples and explain the concept or topic in a more understandable way.	It would be better if there's a PowerPoint presentation since it is hard if the module is being read only. It will be good for visual learning as well.
He elaborates the lesson and give insights on it, like tackling it in a form of ted talks or just making deep discussion on the subject matter.	There are some interferences when he talks and because his voice not loud enough it is hard to understand what he is saying sometimes.
He has a lot of knowledge that always shared with us every lecture classes.	The only think that my concerned in his class was his voice is a little not audible maybe because of the other factors also like his surroundings. For instance, the other instructor discussing on their respective classes around him is much louder.
He is approachable.	Sometimes we can't understand the lesson because he is surrounded by different professors that also conducts their online class.
She is very kind	None
She's very nice and considerate to us, also she provides needed learning materials and the activities are not so hard, it's just given for us to assess whether we really learned the lesson.	There are some topics or examples that are not fully discussed deeply so it is kind of vague.
She is approachable and her way of teaching is effective.	N/A
Making examples and explaining them was the only thing I could think about.	When asking students a question and they did not like the specific answer it would be nice not to blatantly say they are wrongâ€”it's discouraging the students. Also, the instructor seems not to like teaching. Feels like he was forced to do that. Furthermore, why is he mad immediately? Can't he just control his temper? Also, the energy he gives out is draining because he always seems to be mad at everything. It's triggering my anxiety, to be honest. That's why I hope he improves how he teaches and how he communicates with the students.
our ma'am doesn't pressure us to do things and also gives us consideration.	i think, because of her soft toned voice, when she teaches sometimes, the atmosphere becomes sleepy.
He is a good instructor	None
He has a lot of knowledge that he shred with us during lecture classes.	My only concern was his voice is a little not audible maybe because of some factors like the his surroundings. For instance, the other instructors discussing their respective subjects surrounding him.
Shes great	Nothing tbh
She is a good instructor	None
he makes sure that we got the lesson so that nothing will be left behind.	sir's way of teaching can be sometimes triggering. He always ask us why there are no students answering but when we answer, we are always wrong(he only wants his answer). Also in terms of assigned schoolworks, his instructions are unclear resulting to us repeating the same assigned schoolwork just to fit his wanted output. We are also doing the outputs of other subjects, and repeating the output plenty of times is draining. Also the environment is always heavy because most of the times he is angry. Math is so hard for me, i am not a fast learner in terms of mathematics and i admit that, but how can i learn when his way of teaching is mostly provocative and angry? he easily loses his patience because he expects us to be great, but he is teaching  a solving related subject and not all students have the best learning capacity. As a person with anxiety, he triggers it most of the time. Just listening to his voice makes me nervous even in the recordings that he puts on gclass.
Sheâ€™s a kind professor. She also gives additional videos about the topics.	In teaching strategy, she needs a more creative and fun learning experience to offer her students.
Our instructor discuss the lesson according to her perceptions that made us understand her point.	Sometimes, the power point presentation is not clear maybe because of the signal
She doesn't give us heavy workload.	During her discussion, the majority of the topic is self-explanatory so most of her explanations are just stated in the lecture that's why I can't consider it as a negative comment.
Our instructor clearly explains the lessons, adds additional information if possible, and is kind and not too hard on the students.	N/A
Tolerable and dedicated to his own work	Teach in a place that has feasible internet connection and far away from noise.
Executes their job well.	None at the moment.
She is dedicated.	N/A
Mr. Calpito diligently teaches his students not only the technical part of the subject but also the subjective parts. He encourages student participation by allowing his students to share their opinions on the subject matter, while making them into a topic everyone can freely discuss. He gives an aura where students can feel comfortable while attending his classes.	There are no negative comments directed towards the Professor so far, however, I must raise the concern of the noises in his environment/surrounding which negatively impacts the lectures and discussions in his class.
She is an excellent teacher and a nice teacher	N/A
she is good and patient	nothing
SHE IS GOOD AND PATIENT	NONE
She is easy to understand and she discusses lessons slowly so that we won't experience work overload	More interaction with students, so that we can engage more to what she is discussing
Listens to the students' concerns and discusses lectures clearly.	None
Good way of teaching	None
good speaker	None
She update on time if the class are postpone	I don't have
THANK YOU AND I TRULY APPRECIATED THE WAY OF YOUR TEACHING	NONE
I like that she provides educational videos, along with the written materials themselves.	None so far, really.
Good teacher	None
She always gives as update and she explain her lessons in a way her students would understand.	None.
He likes interactive learning, and he makes sure everything is clear.	Since he likes interactive learning, he's easily irritated whenever there's no one answering him. I think his way of teaching is not gonna be effective if he's always angry to his students. He's strict with his rules to the point there's no considerations na. For instance is when the student is one minute late, his works are invalid and considered nothing na, the only way for him to be passed is to take remedial. And sometimes he gives only the recorded lecture from other sections, and since he's temper is not that good, I'm personally afraid to recite or give insights while in class. And whenever I give insights, even if its correct but in general form, he considered it wrong and likes more the specific answer. He's not giving or stating positive comments to his students like "very good" or "thank you", so sometimes i think our answers are not being appreciated. Also, I often hear his voice in the background, its like his voice is more audible than our prof's voice in that course.
Our instructor has a lot of knowledge about our topics that sharing with us every lesson. And her way of teaching for me is very effective because I understand most of our topic discussed.	I don't have any negative comments.
She speaks clearly and we can learn something from her.	There are instances that the instructor conduct a fast discussion and I can't catch up with the lessons, but because of the lectures that she post, I am learning.
She always try to explain the lesson and add background ideas about it.	I think opening her camera during the discussion would make the class more engaging and so that the learners will feel that we are really having a class.
She conducts classes regularly in a simple and uncomplicated manner.	Record class discussions
Our instructor always explain our lesson clearly. Our class with him is very interactive since he really shows the steps while computing and he always asks us.	I can't think of negative comments about our instructor since he is doing a great job in delivering the lessons to us.
She is considerate to her students	Sometimes I cannot fully understand our topics because she only read what was written in the module without further explanations.
Our instructor gives lots of example which helps us students to better understand the topic. Moreover, she always shows the step by step procedure in solving equations. She is also approachable.	There are no negative comments about our instructor.
â€¢ Thorough with the explanations to ensure that everyone is progressing at the same pace. â€¢ Modules are brief and concise. â€¢ Materials given are more than enough to properly tackle the lesson. â€¢ Examples are easy to follow.	â€¢ Some simple things are being explained too thoroughly. As much as it is important to give emphasis on crucial details, it must still be kept in mind that there are much more complex things to tackle in the same lesson.
She's very jolly and gives positive vibes during classes	none so far.
Our instructor shows us how to answer a specific problem step by step, thus it is clear to us how to solve or answer certain problems.	He gives us a not so learner-friendly environment. A space where students become afraid to answer. It seems like he cannot build a good communication with his class.
She's so jolly and teach us with all of her heart. She's also considerate in every situation	none
He always attends classes on time and gives some break in order for us to process the lessons he teaches. He answers our queries and clarifications comprehensively.	None so far.
She is very jolly which makes the discussions light.	There were topics that were discussed too shallowly. Some items in the PSet were too complicated (weren't taught in classes).
She is considerate and enthusiastic on her job, she also loves to joke around on her class that makes the class fun	N/A
She carries a positive vibes, which makes her more approachable and makes discussions lively and interesting. Even more, she elaborates lectures clearly which satisfies the students' expectations	there are no negative comments that i can say so far about this professor
She makes the discussions lively and interesting which helps the students focus their attention to the class despite having it in online setting	none, so far
He is approachable.	I don't have any negative comments.
His lessons are easy to understand and I learned a lot in his subjects. After the discussions, he gives us an activity which helped me to retain and practice what I've learned and understood in the topics he discussed.	He is too strict in his subject and there are a lot to comply when passing an activity. And if you forgot to follow a single instruction given by him, your paper is considered as a zero. Also, the way he approaches the students in a harsh tone makes it difficult for us to answer him whenever he asks questions since we are pressured by him, and makes us afraid to make mistakes when answering him.
HIS LESSONS ARE INTERESTING. HE MAKES SURE THAT EVERYONE IS ABLE TO UNDERSTAND THE TOPIC BY LETTING US SHARE OUR THOUGHTS ABOUT THE TOPIC. AFTER THAT HE EXPLAINS IT TO US.	THERE ARE TIMES THAT I COULDN'T UNDERSTAND WHAT HE IS SAYING DUE TO THE BACKGROUND NOISE IN HIS SURROUNDING AND UNSTABLE CONNECTION THAT MAKES IT DIFFICULT TO COMPREHEND WHAT HE IS TRYING TO EXPLAIN. ALSO, HE JUST GAVE OUT THE WHOLE MODULE AND A REFERENCE BOOK SCANNED AND UPLOADED ONLINE, AND NOT A POWERPOINT THAT CONTAINS EACH LESSONS AND TOPICS TO BE DISCUSSED. BECAUSE OF THIS, IT MAKES IT HARDER FOR ME TO FIND AND FOCUS ON WHAT WE ARE LEARNING.
HER LESSONS ARE EASY TO UNDERSTAND AND SHE PROVIDES DIFFERENT MATERIALS LIKE VIDEOS FOR US TO COMPREHEND MORE THE TOPIC THAT IS BEING DISCUSSED.	N/A
SHE MAKES SURE THAT EVERY ONE OF US IS ABLE TO UNDERSTAND THE TOPIC AND THE PROBLEMS THAT IS NEEDED TO SOLVE. SHE IS ALSO APPROACHABLE AND FRIENDLY WHICH MAKES IT EASIER FOR US TO LEARN ABOUT CALCULUS WITHOUT BEING PRESSURED.	HER TOPICS ARE TOO FAST FOR ME THAT I WASN'T ABLE TO ABSORB MUCH HER LESSONS IN A DAY.
The voice of our instructor is clear and he will ask if we understand the lessons that he is teaching us, from time to time.	I don't have any negative comments about my instructor.
SHE GIVES OUT THE POWERPOINT AND LEARNING MATERIALS THAT ALLOWS US TO STUDY HER LESSONS IN ADVANCE AND THOROUGHLY EXPLAINS THE TOPIC.	UNCLEAR TEACHING SINCE SHE MOSTLY JUST READS HER POWERPOINT TO US AND NOT DISCUSS THAT MUCH ABOUT THE LESSON
HIS LESSONS ARE EASY TO UNDERSTAND AND HE PROVIDES A LOT OF LEARNING MATERIALS THAT SERVES AS REFERENCE IN ORDER FOR US TO UNDERSTAND BETTER THE TOPICS THAT ARE BEING DISCUSSED. HE ALSO MAKES FUN AND ENGAGING ACTIVITIES THAT MAKES HIS CLASS ENJOYABLE.	N/A
EASY TO UNDERSTAND LESSON AND ENGAGING ACTIVITIES	DOES NOT PROVIDE RECORDED MEET AND LESSONS
She gives the ppt's for us to study.	She talks about the lesson fastly, which makes her hard to understand. Also, ma'am does not know how to mind her own business sometimes. She always tell us that it would affect the reputation of school, but it seems like she's more affected than the school. Even the student's love life (which is a personal thing), she has still something to say. she is always bothered at the students' happiness and i don't really know why. Sometimes it's unnecessary to our course which understanding the self. I suppose our course must teach us how to be ourselves,but how can we learn to be ourselves when sometimes she make us think that some of the things we do are wrong even if are not?. Some of her point are valid, but some of it also are not and can sound offensive.
kind	none
She answers our questions and concerns immediately	We are looking for more video materials that we can watch if ever we are in asynchronous class
He discusses the lesson clearly and give examples on a certain topic	We hope that he announce earlier prior to the schedule of our f2f class
He gives examples and clearly discussed the topics	We hope that the activities will be lessened so it will not affect our time for other subjects, also we are hoping that he allows more time for discussion of the topic so we don't need to rely and find more resources on the internet because it is a hassle on our part
She is kind and very understanding.	I think she should improve her teaching skills, like how she can discuss the topic clearly and precise.
none	none
Lessons were taught effectively and when I rewatch the lectures, I can easily identify the concepts and how to solve certain problems.	None, but the exams should've been made by the professor because some prof have different style of teaching and some also add or teach some infos that weren't taught to the other class. This will make disparity on the ideas the students have and the items on the exam, it would really hard, though I know it's not Ms. Mariano's fault since it's all agreed upon by the department staff.
She teaches very well and taught us some shortcuts regarding to the said lesson	None
Shes great	None
Ma'am Shanne in general knows the hardship of the students and the subject she is teaching, she empathizes with the students and rather than going on a rant about how her students can't answer, she instead explains it to her students so we can understand the topic better. She also gives certain helpful advices on how we can improve our skills in Mathematics and properly addresses certain departments where we lack and during Face-to-face Classes, she made us feel welcome and supported, her class which is instinctively a intimidating class is now not so intimidating due to her wonderful and welcoming presence.	None so far.
She is very jolly and she finds a way to make the lesson easier for us.	There are none so far.
She discussed the topic well and she is approachable.	NA
good instructor	none
She teaches well and provides good vibes while teaching	N/A
She is willing to move our online classes, just so we can have time to prepare for our face-to-face classes.  She explains the topic effectively and gives some real life example.  She is also considerate	Our google classroom is not organized enough
She let the students speak and answer, without feeling nervous that we are wrong.	She doesn't give adequate assignments, that's why we are not encouraged to do some practice in solving
Since the subject is considered difficult by most students including me, our instructor does a good job in making the lessons easier to understand rather than complicating them more.	N/A
Her discussions are clear and easy to understand	N/A
He share some insightful comments when we are discussing about Philippine History.	Our classes always start late than the scheduled time, because he always wait for the surrounding to be quiet, and it takes a lot of time because he is in the faculty area. So we tend to just wait there while he jokes around.   He cuts in sometime when the students are reporting.   He has an unclear voice and we always struggle to understand him, maybe because of the background noises, his voice or his mic.
Clear and interactive discussions	N/A
Clear discussions with easily understood examples	N/A
Relates the topic with easily understood examples.	The quality of the sound of his voice since it is a little hard to understand what he says
N/A	PowerPoints provided would be a little easier to understand if the examples and given problems and equations have solutions for review purposes.
Clear discussions	N/A
Clear discussions and collaborative activities	N/A
She is considerate in checking our quiz. She also brings positivity because even if the subject is not easy, it gives me hope that I can pass because of her inspirational stories.	I don't have negative comments for now. For improvement, maybe she must provide easier given and equations during examinations.
he is a very good professor	none
He explains well, he gives us clear instructions and he always post recorded video of the meet and recorded video of his instructions for the activities. He also replyâ€™s immediately if our class have questions in google chats.	On our first day of face-to-face, he doesnâ€™t have a lapel that caused of not understanding what we must do, however we just adjusted.
I like it when sir shares his insights about our topics and shares about what his perspectives related to our discussions.	Uploading the activities ahead of time would be nice also notify us immediately of what to do during face-to-face classes
He has a clear voice which is a great help in understanding the lessons he discusses. He also instructs well.	N/A
Sheâ€™s posting lecture video of another prof regarding the lesson.	Her speaking voice, I think it just need to be more energized and catchy to make us listen and understand the lessons.
He tries to discuss and make us understand the lessons.	We canâ€™t understand what heâ€™s saying because of his low voice and loud background noise.
Our instructor conducts and finishes our online class on time. She's able to finish one lecture in one meeting.	Maybe providing powerpoint presentations would be a great help for us students to not lose our focus and learn more efficiently.
she's good in her profession, very close to us and also considerate especially on some situations	there's nothing to improve yet because i didn't see anything bad from the way how she approached us
Sir Lagman is a very considerate instructor. He's able to make every face-to-face session fun and enjoyable.	N/A
Ma'am Shanne is a chill type of teacher yet we're able to learn a lot of mathematical techniques from her. She's able to fit finishing our lessons in our given schedule.	Personally, I'm a slow learner when it comes to understanding Math lessons so it feels like the phasing of lesson in Math 401 is a little bit fast for me.
He is approachable.	None
The way of teaching is very effective.	None
He is kind and does not give heavy workloads.	During our face-to-face classes, when he is discussing, his voice is not that loud and clear.
Good Good	Nothing
Our instructor is kind and considerate. Her vibe is chill and her way of teaching is effective, always giving examples so that the problem is clear and understandable.	
Our instructor always explain the topics for us to better understand them. He also guides us and never fail to deliver the instructions clearly whenever we are having group activities. Moreover, he is not very strict during group activities so we were able to perform the tasks better and have fun at the same time.	There are no negative comments about our instructor.
Our instructor is kind and patient. He's always making the learning atmosphere fun, informative, and interesting.	
Ma'am Shanne explained every formulas/theorems very well. She has a lot of patience when teaching on us and with that, we are actively participating on her subject.	None
She never let us be so crowded with information as she gives us break in between lessons.	None so far.
he always positive that's why students enjoy his lectures.	none so far
she is kind and help us to understand the lesson more that's why after the long quiz she discuss it number by number.	none so far
Sir Rendell explains the lessons in Introduction to Engineering in an easy way, where students can absorb the lessons that has been discussed quickly.	None
Engr. Lagman tend to socialize more with his students, he knows the ins and outs of a students and how to interact with them properly. He is most certainly a respectful person with a wonderful sense of humor. Teaching wise, he is also a great instructor who knows the discussion inside-out.	I have no current suggestion.
The activities he gives us are interactive and best for this kind of subject since it is more of a practical application of the lessons and that is much better than having exams and such. Those activities gives us more knowledge and experience on the application of lessons.	Sometimes there are unclear instructions
Her aura always lights up the vibe during our lectures. We are always having fun during her discussions and there was never a dull moment, though this course is Math-related.	None
Keep up the good work	N/a
Keep up the good work	N/a
Our instructor teaching technique is good and understandable. Even if some of the lesson is a little hard to understand because of other circumstances. And our teacher is very easy to approach if we need to ask something about the topic which is very good in part of the instructor because we can easily clarify things about the topics.	I don't have any negative comments.
Our instructor is kind and considerate which makes the subject easier to understand and not boring to learn. He also discusses topics well, provides additional information, and applies professionally what he learned before during his college years to help us adapt to this new environment easily.	N/A
She is very good at teaching, I learn a lot during her subject.	There is no negative comment I can say for now, since I have learned a lot because of her teaching.
She is very good at teaching math. I have learned a lot from her and her approach in teaching is really good since it involves the student's participation during lessons.	There are no negative comments about Ma'am Shanne since she is very good at teaching
Has a Very chill vibe and teaches like a professional	N/A
Explains every instructions in detail.	None so far.
always ask us if we understand the lesson and repeat it all if we don't.	small hand writing on board every f2f sessions
our ma'am always makes sure that the lesson she teaches will be put to our brain. also, she has a patience and understand students that her subject can be hard. her teaching style is also effective because she doesn't teach angrily unlike other instructors.	none
in every ELA activities, sir teach us how important is punctuality and time management	don't post discussions of online class on gclassroom
sir have this weekly course plan where we need to follow it for us to finish the discussion and sir also motivate us to be the better version of ourselves every wrap-up	none
not too slow but not too fast discussion	sometimes just read what is on the module and not explain it
say something about the topic that will make us all wonder	sirs' background noise is louder that his voice
discuss every topic elaborately and use a digital board for computations	many activities that is required to pass but ungraded and hard quiz
tells us how to act as a student	post other professors recording on gclass and not her discussion to us
good instructor	none
Very giving and not only teaches academic lessons, but in life as well.	None so far.
His discussions are clear and he implements his activities in an engaging and open manner.	None so far.
She is clear and precise when it comes to teaching her subject.	None.
For me , our instructor in this course has a lot of ideas and knowledge that he always shared with us. Moreover, he gives examples that we can relate to it when he's explaining something on us. He's kind and very approachable instructor.	I don't have any negative comments.
NONE	NONE
He explains the lessons clearly.	He is strict and not considerate when it comes to exercises and solutions.
Our instructor is really knowledgeable of the subject, which is why he is able to explain the lessons more profoundly, thus pushing us to study harder.	He can be more kind and considerate, because every time he asks for an answer during discussions, I feel like if I answer wrong, then that would mean I'm not trying hard enough to understand the lessons. It results to lower self-esteem. Quizzes and activities take a really long time to answer. He could reduce the number of items given that a few is enough to test our knowledge in a particular lesson.
N/A	Tends to give a lot of workloads and is very strict
She is very approachable and considerate. Even if the subject is hard, she make sure that we can catch up with it.	None
He is approachable	Way of conveying instructions or processes are unclear or disorganized
He tries to discuss to the best that he can and he tries to adjust whenever we find some topics difficult	He's strict and gives low grades
She explains it in our native language	Tackles the lessons so fast. Draws the equations sometimes
He's very approachable. Fun to be a teacher.	He sometimes don't explain well how to do the activities
.	I think she needs to teach slowly and make sure that there's no student that felt left out.
He is very professional in terms of teaching, we enjoying his class especially when its ftf class.	.
He is not that effective professor, his way of teaching is hostile	He neglect our ideas, he only wants what he think is the correct answer
very audible in teaching	nothing
very audible in teaching	nothing
HE PROVIDES A LOT OF LEARNING MATERIALS THAT MAKES IT EASIER TO UNDERSTAND HIS LESSONS AND GIVES OUT FUN ACTIVITIES THAT MAKES HIS SUBJECT ENJOYABLE. HE IS ALSO APPROACHABLE AND RELIABLE.	N/A
very interesting and much audible in teaching	nothing
VERY INTERESTING AND I LEARN SO MUCH FROM HER	NOTHING
VERY INTERESTING	NOTHING
VERY INTERESTING AND AUDIBLE	NOTHING
He always held classes on our scheduled time.  He makes sure that our course is fun and enjoyable by having activities when we have face-to-face classes.	I do not have any negative comments so far.
He instructs clearly and responds to the students' queries and concerns.	None
Discusses lectures clearly and responds to students' concerns and queries nicely.	None
Keep up the good workd	N/a
i like this subject, the groupings part and making any prototype	i donnot have negative feedback
super bait and napaka clear mag turo	none
Super galing po mag turo	none
He always explains his topics well and manages creative class activities for the class. He always provides a recording of the class and also activities that are all related to the engineering subject.	I do not have any negative comments on the instructor.
She understands the students' weaknesses in math and calculus and tries to help us improve on these. She gives us practice exercises to understand the lesson better.	She manages the class well and lessons are well-explained, there are no negative comments.
The instructor briefly discusses each part of the module and lesson and explains it well with the class. She always provides examples for better understanding.	There are no negative comments about the instructor. She conducts the class well and effectively.
He has a good technique or way of teaching to us that make me learn and understand the topic well. The way he explains everything and give example and explain it little by little helps me a lot to catch up on the topic discussed on this course. I can definitely say that I learn a lot of knowledge on this course because of him. Even some of the topics was already discussed before to be honest I still don't understand some of them because of the confusions and its very unclear to me, but in this case, he's the one get rid of all the confusions I had before on the topic discussed also on the previous grade levels when I was in high school. And also when he's discussing a new topic on us, I understand it well.	For me , one thing I'm concern about our instructor in this course was he's a little scary and very intimidating when he's discussing and asking questions to us. These makes me scared and lower my self confidence every classes in this course. So I think what he need to improve was to learn how to calm down in every classes.
He clearly discussed the lessons and allows us to incorporate what we have learned in real-life problem situations.	N/A
She clearly demonstrates the step-by-step process of how to solve certain computational problems	N/A
He guides the students on every activity and is approachable.	None so far.
Good at explaining	Sometimes a bit too grumpy
none	none
None	None
none	none
Good	None
The instructor guides the students on every activity and is approachable.	None so far.
He is good at explaining and at teaching	There are no negative comments for Sir Lagman
He's very considerate and friendly	.
She teaches well	.
Our instructor is considerate as well as he has knowledge on what he is teaching.	For me, he needs to improve his way of teachings.
Comfortable to communicate. Brings an overall positive environment on both physical and online classes.	No such concerns regarding about improvement.
Brings a positive environment to the classes.	None at all
Good instructor and made the course interesting	None
He is a good instructor and he made this course interesting and fun	none
He has a chill vibe and teaches in a good way	N/A
very audible and very kind in teaching	nothing
He's nice	N/A
She teaches very clear and easy to understand	N/A
She's also nice	Sometimes she talks a lot about her story and takes a lot of time
She's also nice	She's sometimes absent
Good at teaching	She easily gets sidetrack when teaching and have a lot of technical difficulties
She is considerate when it comes to activities.	She teaches really fast. Sometimes, her screen is not that clear due to internet problems so we have to rely on what she says, yet she tells the information really fast that it's hard to catch up. The result is there are questions in the quiz which are not familiar to me because she may have discussed it rather than put it on the PPT presentation, but I may have not been able to understand it clearly during the meeting.
.	....
She is approachable and energetic	None
Good instructor. I can easily get the topic because of his way of teaching.	none
She gives motivation while we have our discussion as well as she taught us some techniques that will be advantage for us.	On our first session, she did not explain very well the lesson.
She has a knowledge on what she's teaching. She explains every lesson that we discussed.	Sometimes her voice is unclear making the topic not understandable.
She is considerate and very welcoming towards her students.	I think that the lessons should be explained more for better understanding.
She elaborates and explains the topic well	none
He explains some activities based on experience.	I think the instructor should focus on explaining in details and making sure that everyone really understand what to accomplish.
He has a good way of teaching in which the students can understand each of the lesson. He has a knowledge on the course and has a confidence on what he's saying everytime in the discussion.	Sometimes he is not considerate to the students wherein it can make the students feel uncomfortable.
She teaches well and she is considerate to students who are struggling in understanding the lessons.	Some topics were not discussed that much resulting to students having a hard time in understanding the lessons.
The instructor really have some knowledge about the subject she is teaching.	The instructor only reads the lesson and some topics are not discussed properly.
She have recaps about the previos lessons.	.
i like how maam goldemar discussing new topic to us and acknowledging it in real life situation	none.
She teaches in a calm and patient manner	Her words or her way of speaking is hard to understand sometimes
He explains things in a simple manner	Teaches a lot of topics in one lesson that leads to information overload and does not explain other examples provided
She's a okay instructor I guess	She can't control herself whenever she is angry, she said some bad words to other students and did not explain the topic very well
very clear and loud po mas naiintindihan ang tinuturo	none
Very understanding	fast discussion in simplifying
shares ideas well	sometimes incoherent
interactive	none
kind, and not very strict	needs to teach better to ensure better understanding of all the students
great insights about the topics	-
keep up the good work	none
Our instructor is kind, and considerate. She's always giving real life examples and always sharing her knowledge and is teaching us good moral.	Our instructor sometimes is moody but she accepts apologies and apologizes too. I think that is a good trait of her, she recognizes her mistakes and learns from it.
very audible, easy to learn	nothing
She shares a very relatable situation, so that we can remember the topic more easily.  She is not too strict when we are doing some online activities and she acknowledge our other subject so we still have the energy to do it and finish our tasks.  She always let us know if we have to move our schedule and sometimes, for me, it is very convenient if she makes the classes more early.	She do not record our classes and gave us an online discussion from other instructor, which is okay because the instructor in the video is good, but sometimes there are things that she said that we want to go over again.
She is very concerned with the hygiene and manners of her students	She sometimes vent out her frustrations on her students which affects the mood and the atmosphere during the class.
fun and interactive classes	N/A
Tasks were not too hard and doable in a short period of time.	She says a lot of unnecessary information that are a not quite close to the topic making it harder to understand and it makes me lost while she is teaching.
He really give detailed lecture on each lesson and it is much easy to understand, you can really tell his experience in teaching.	There are a lot of activities although they were ungraded. Another thing is that he doesn't upload the module and advance studying is hard in this subject. Also, it is not that encouraging to answer in recitation and it's actually scary.
The positive comments that I can share about my instructor is that she surely make the subject more understandable since it's diffcal.	I think more elaboration in the topic, but all in all ma'am shanne is the most comfortable instructor since she truly feels what we're going through as student.
Sir Rendell is a very cheerful instructor, he's always asking if we truly understand the topic.	Sir rendell is the best.
NA	I think that the way she teach needs improvement because there are times where I can't understand the topic because she only reads the slides.
He gave many examples when discussing a topic.	He forgot to post the things that he said that he will be posting in our gclassroom, for example, the video recording. (but he still post it even if it is a bit late)
His approachable and its fun to learn because of the activities	N/A
Our instructor in this course has a lot knowledge that always sharing with us. Her teaching technique makes me understand some of the topics discussed. She's considerate in all activities she let make us do everytime.	The negative comments I can say about is that sometimes she's late in her regular classes and sometimes her voice is a little in audible. So what I can recommend for improvement was for her to louder her voice a little and make it more a little slower when she speaks for us to able to understand clearly what she's saying.
He makes clear instructions.	none
